log_filename,freq1,freq2,freq3,freq4,freq5,freq6,IR1,IR2,IR3,IR4,IR5,IR6,raman1,raman2,raman3,raman4,raman5,raman6,adsorp_energy,CO_NPAcharge
18.log,0,0,26.4254,106.1994,142.3534,2224.5744,0,0,0.1895,0.2223,0.0864,135.3407,0,0,0.4491,0.831,1.9911,122.9265,-0.191163,0.13616
19.log,0,0,32.6399,109.577,141.8913,2224.9613,0,0,0.4351,0.2392,0.1182,138.4885,0,0,0.8833,0.8152,1.8741,124.328,-0.198789,0.13757
20.log,0,0,41.1259,112.8059,141.5517,2225.3625,0,0,0.8138,0.2565,0.1598,141.3357,0,0,1.4995,0.796,1.7602,125.3103,-0.206106,0.13947
21.log,0,0,50.2347,115.8774,141.3218,2225.7781,0,0,1.1307,0.274,0.2122,143.8725,0,0,1.9882,0.774,1.6525,125.8644,-0.213122,0.14139
22.log,0,0,58.7695,118.8014,141.1983,2226.2073,0,0,1.3371,0.2921,0.2762,146.094,0,0,2.3098,0.7495,1.5547,125.9882,-0.219846,0.14333
23.log,0,0,66.5121,121.5903,141.1887,2226.6481,0,0,1.4673,0.3108,0.3528,147.9989,0,0,2.5372,0.7233,1.4715,125.6875,-0.226283,0.14527
24.log,0,0,73.4397,124.2342,141.2775,2227.0964,0,0,1.5424,0.3309,0.4416,149.5883,0,0,2.7056,0.696,1.4061,124.9736,-0.23244,0.1472
25.log,0,0,79.6008,126.7275,141.4517,2227.55,0,0,1.5737,0.3529,0.541,150.866,0,0,2.8273,0.6691,1.3604,123.8626,-0.23832,0.14912
26.log,0,0,85.1689,129.0914,141.7322,2228.0078,0,0,1.5671,0.3782,0.6501,151.8406,0,0,2.9048,0.6448,1.337,122.376,-0.243927,0.15101
27.log,0,0,90.2301,131.333,142.1267,2228.4677,0,0,1.5239,0.4091,0.7653,152.5249,0,0,2.9332,0.6264,1.3357,120.5411,-0.249265,0.15287
28.log,0,0,94.7924,133.441,142.6127,2228.9273,0,0,1.4469,0.4495,0.8788,152.9347,0,0,2.9074,0.6189,1.3505,118.3909,-0.254336,0.1547
29.log,0,3.437,98.9433,135.4257,143.1851,2229.3842,0,0.1514,1.3391,0.5045,0.9826,153.0876,0,0.4685,2.8243,0.6294,1.3737,115.9629,-0.259142,0.15715
30.log,0,5.7166,102.7738,137.3064,143.8736,2229.8343,0,0.138,1.2023,0.5801,1.0685,153.0052,0,0.4573,2.6804,0.6667,1.3958,113.3006,-0.263683,0.15887
31.log,0,7.2872,106.2697,139.0893,144.66,2230.272,0,0.1259,1.0425,0.6808,1.1238,152.7123,0,0.4468,2.478,0.7397,1.4,110.4518,-0.267962,0.16054
32.log,0,8.4102,109.4258,140.7701,145.5343,2230.696,0,0.115,0.8692,0.8095,1.1361,152.2346,0,0.4374,2.226,0.8556,1.3664,107.4669,-0.271977,0.16212
33.log,0,9.4199,112.2977,142.372,146.541,2231.108,0,0.105,0.6899,0.9596,1.1052,151.6002,0,0.428,1.9344,1.01,1.2894,104.3982,-0.275732,0.16364
34.log,0,10.3616,114.8919,143.9373,147.6719,2231.5046,0,0.0957,0.515,1.1075,1.0445,150.8401,0,0.4186,1.6194,1.1757,1.1801,101.3,-0.279228,0.16507
35.log,0,11.0911,117.1771,145.4829,148.8669,2231.8764,0,0.0873,0.3589,1.228,0.9664,149.9849,0,0.41,1.3052,1.3197,1.0498,98.2257,-0.282476,0.16641
36.log,0,11.6912,119.1634,147.0519,150.0865,2232.2221,0,0.0797,0.2314,1.2954,0.89,149.0658,0,0.402,1.0132,1.4039,0.9217,95.2272,-0.285498,0.16766
37.log,0,12.2743,120.8632,148.6675,151.339,2232.5447,0,0.0728,0.1385,1.2894,0.8339,148.1142,0,0.3946,0.7603,1.3945,0.8215,92.3547,-0.288345,0.1688
38.log,1.3824,12.6965,122.2657,150.2659,152.5743,2232.8357,0.0345,0.0668,0.0828,1.2198,0.7905,147.162,0.3777,0.3882,0.56,1.2976,0.7402,89.6558,-0.291108,0.16984
39.log,6.094,12.9229,123.3934,151.7855,153.7582,2233.0954,0.0362,0.0615,0.0595,1.1096,0.749,146.2395,0.3761,0.3832,0.4133,1.1404,0.6623,87.1754,-0.293848,0.17078
40.log,8.3247,13.128,124.2921,153.2292,154.9,2233.3329,0.0377,0.0568,0.0601,0.971,0.7131,145.3768,0.3748,0.3793,0.3134,0.9387,0.5937,84.9584,-0.296206,0.1716
41.log,9.8461,13.2447,125.0114,154.5294,155.9294,2233.538,0.0391,0.0527,0.0759,0.8344,0.6696,144.6027,0.3738,0.3763,0.2508,0.7357,0.5148,83.0417,-0.297182,0.1723
42.log,10.8597,13.0571,125.5518,155.6375,156.7842,2233.7023,0.0404,0.0493,0.0989,0.7266,0.6084,143.9229,0.3725,0.3739,0.2151,0.5703,0.4107,81.4299,-0.299096,0.17287
43.log,11.8367,13.1201,125.9594,156.5717,157.4965,2233.8456,0.0414,0.0464,0.1227,0.6332,0.5539,143.3797,0.3718,0.3725,0.1962,0.4289,0.3202,80.1375,-0.300254,0.17332
44.log,12.2643,12.8935,126.2132,157.1746,157.8291,2233.935,0.0421,0.0443,0.1428,0.5626,0.5085,142.965,0.371,0.3712,0.1874,0.3234,0.2474,79.1458,-0.299611,0.17364
45.log,12.5563,12.7667,126.3531,157.6739,158.0311,2233.9897,0.0426,0.043,0.1561,0.5146,0.4847,142.7066,0.3707,0.3707,0.1845,0.2491,0.2062,78.6012,-0.300663,0.17385
46.log,0,0,12.0657,41.5556,171.8676,2220.9681,0,0,0.1258,0.1677,0.0189,63.0489,0,0,0.3788,0.4652,1.9001,59.7996,0.00629,0.11717
47.log,0,0,19.4609,39.9021,168.359,2220.9926,0,0,0.136,0.1407,0.0243,66.6208,0,0,0.4064,0.4003,2.082,64.0516,-0.010574,0.1173
48.log,0,0,23.3288,40.1812,165.2116,2221.0507,0,0,0.1515,0.1107,0.029,70.482,0,0,0.4028,0.3832,2.2425,68.4283,-0.026478,0.11756
49.log,0,0,24.4411,42.9247,162.393,2221.124,0,0,0.1575,0.0925,0.0325,74.594,0,0,0.3531,0.4277,2.3765,72.8876,-0.041518,0.11796
50.log,0,0,24.1661,47.2786,159.8728,2221.2162,0,0,0.152,0.0883,0.0346,78.9136,0,0,0.2972,0.4937,2.482,77.3893,-0.055777,0.11849
51.log,0,0,23.5648,52.2947,157.6118,2221.3391,0,0,0.1431,0.09,0.0353,83.396,0,0,0.2545,0.5583,2.5599,81.8954,-0.069321,0.11916
52.log,0,0,22.7694,57.5305,155.5535,2221.4792,0,0,0.1338,0.0942,0.0347,87.9979,0,0,0.2216,0.6172,2.6114,86.3699,-0.082206,0.11996
53.log,0,0,21.7209,62.7914,153.6516,2221.6395,0,0,0.1244,0.1,0.033,92.6793,0,0,0.1946,0.6688,2.6399,90.7735,-0.094479,0.12089
54.log,0,0,20.5411,67.979,151.8921,2221.8391,0,0,0.1151,0.1072,0.0307,97.4027,0,0,0.1732,0.7122,2.6488,95.0653,-0.106184,0.12194
55.log,0,0,19.4102,73.0212,150.2755,2222.0698,0,0,0.1061,0.1157,0.0282,102.1292,0,0,0.1573,0.7467,2.638,99.207,-0.117364,0.1231
56.log,0,0,18.6192,77.8774,148.811,2222.3195,0,0,0.0973,0.1255,0.026,106.8168,0,0,0.1472,0.7729,2.6068,103.1638,-0.128057,0.12439
57.log,0,0,18.4107,82.5401,147.5097,2222.5903,0,0,0.0893,0.1365,0.0247,111.4221,0,0,0.1427,0.7917,2.5568,106.9022,-0.138294,0.12633
58.log,0,0,18.6566,87.0137,146.3595,2222.8808,0,0,0.0817,0.1487,0.0253,115.9057,0,0,0.1424,0.8039,2.4899,110.3883,-0.148103,0.12779
59.log,0,0,19.0975,91.2869,145.3323,2223.187,0,0,0.0744,0.1619,0.0285,120.2341,0,0,0.146,0.8099,2.408,113.5887,-0.157503,0.12935
60.log,0,0,19.7945,95.3608,144.418,2223.5112,0,0,0.0691,0.1761,0.0353,124.3771,0,0,0.1575,0.8103,2.3145,116.4712,-0.166515,0.13098
61.log,0,0,21.079,99.2517,143.6228,2223.8573,0,0,0.0718,0.1911,0.047,128.3051,0,0,0.1881,0.8059,2.2125,119.0079,-0.175157,0.13268
62.log,0,0,23.3741,102.9623,142.9409,2224.2194,0,0,0.1,0.2069,0.0647,131.9893,0,0,0.2678,0.7973,2.1033,121.1748,-0.18345,0.13443
63.log,0,0,27.3105,106.5003,142.3686,2224.5936,0,0,0.2026,0.2231,0.0894,135.405,0,0,0.4769,0.785,1.989,122.952,-0.191412,0.13625
64.log,0,0,33.6794,109.8836,141.9202,2224.9803,0,0,0.4667,0.2397,0.1226,138.5323,0,0,0.9443,0.7695,1.8738,124.3229,-0.199054,0.13809
65.log,0,0,42.2968,113.113,141.6025,2225.3811,0,0,0.8489,0.2565,0.1659,141.3584,0,0,1.5669,0.7509,1.7617,125.2758,-0.206388,0.14
66.log,0,0,51.3921,116.1779,141.4019,2225.7964,0,0,1.1533,0.2734,0.2202,143.8749,0,0,2.0373,0.7296,1.6562,125.8024,-0.213424,0.1419
67.log,0,0,59.8254,119.0861,141.3149,2226.2257,0,0,1.3479,0.2906,0.2866,146.0782,0,0,2.3427,0.706,1.5611,125.9003,-0.220168,0.14342
68.log,0,0,67.442,121.8528,141.3484,2226.6672,0,0,1.4696,0.3085,0.3661,147.9671,0,0,2.5591,0.6808,1.4812,125.5739,-0.226628,0.14536
69.log,0,0,74.261,124.4727,141.4849,2227.1171,0,0,1.5386,0.3279,0.4577,149.5426,0,0,2.7201,0.6547,1.4193,124.8341,-0.23281,0.14729
70.log,0,0,80.3441,126.9447,141.7102,2227.5726,0,0,1.565,0.3497,0.5596,150.8074,0,0,2.8362,0.6295,1.3774,123.6981,-0.238721,0.14921
71.log,0,0,85.8453,129.2886,142.0447,2228.0323,0,0,1.5537,0.3756,0.6703,151.7691,0,0,2.9079,0.6077,1.3576,122.1883,-0.244364,0.15111
72.log,0,0,90.8311,131.5084,142.495,2228.4933,0,0,1.5062,0.4086,0.7856,152.441,0,0,2.9297,0.593,1.3587,120.3331,-0.249746,0.15298
73.log,0,1.9149,95.3063,133.5923,143.0351,2228.9529,0,0.1643,1.4254,0.4527,0.8967,152.839,0,0.4757,2.897,0.5913,1.3738,118.1658,-0.254869,0.1548
74.log,0,4.5043,99.3678,135.5552,143.6564,2229.4087,0,0.1503,1.3145,0.5133,0.9956,152.981,0,0.4649,2.8073,0.6096,1.3946,115.7244,-0.25974,0.15724
75.log,0,6.2948,103.1142,137.4223,144.3839,2229.8571,0,0.1373,1.1756,0.595,1.0749,152.8891,0,0.4542,2.6576,0.6562,1.4121,113.0525,-0.264361,0.15897
76.log,0,7.6786,106.5335,139.2066,145.1912,2230.2934,0,0.1254,1.015,0.7002,1.1239,152.5883,0,0.444,2.4506,0.7372,1.4114,110.1984,-0.268738,0.16062
77.log,0,8.7048,109.6196,140.9093,146.0629,2230.7166,0,0.1146,0.8424,0.8287,1.1332,152.1048,0,0.4348,2.1958,0.8565,1.3755,107.2122,-0.272874,0.16221
78.log,0,9.6417,112.4243,142.5538,147.0388,2231.128,0,0.1047,0.6656,0.9729,1.1034,151.4673,0,0.4257,1.9039,1.008,1.3,104.1468,-0.276774,0.16371
79.log,0,10.533,114.9559,144.1776,148.1141,2231.5239,0,0.0954,0.495,1.1127,1.0446,150.7059,0,0.4165,1.5912,1.1681,1.1923,101.0558,-0.280439,0.16515
80.log,0,11.2306,117.1865,145.785,149.2382,2231.8941,0,0.0871,0.3441,1.2283,0.9647,149.8521,0,0.4082,1.2817,1.31,1.0583,97.993,-0.283868,0.16648
81.log,0,11.8123,119.1297,147.4074,150.3858,2232.2379,0,0.0795,0.2218,1.2969,0.8809,148.9371,0,0.4006,0.9955,1.3992,0.9186,95.0106,-0.287048,0.16772
82.log,0,12.3911,120.8013,149.0625,151.5776,2232.5586,0,0.0727,0.1334,1.2968,0.8141,147.9924,0,0.3935,0.7485,1.4,0.8022,92.1592,-0.289935,0.16887
83.log,3.2546,12.8297,122.1924,150.6857,152.7693,2232.8482,0.0352,0.0666,0.0808,1.2347,0.7605,147.0501,0.3774,0.3875,0.5527,1.3146,0.705,89.4866,-0.292431,0.1699
84.log,6.7279,13.0788,123.3258,152.2091,153.9198,2233.1078,0.0368,0.0613,0.0593,1.1297,0.7129,146.1404,0.376,0.3828,0.4093,1.1652,0.617,87.0355,-0.29437,0.17083
85.log,8.6778,13.2266,124.2467,153.6077,155.0012,2233.3459,0.0383,0.0567,0.0607,0.989,0.6804,145.2913,0.3747,0.379,0.3115,0.9601,0.5515,84.8424,-0.295762,0.17164
86.log,10.0957,13.3113,124.9867,154.8904,156.0162,2233.5497,0.0395,0.0527,0.0766,0.8403,0.6513,144.5243,0.3736,0.376,0.2497,0.739,0.4919,82.9374,-0.297844,0.17233
87.log,10.8395,12.9275,125.4643,155.8275,156.7577,2233.7071,0.0408,0.0493,0.0994,0.7265,0.5969,143.8526,0.3721,0.3733,0.2143,0.5676,0.3978,81.3256,-0.298765,0.17289
88.log,11.9128,13.1537,125.9291,156.7345,157.5088,2233.8521,0.0416,0.0464,0.1232,0.6274,0.5504,143.333,0.3717,0.3723,0.1955,0.4194,0.3177,80.0619,-0.300151,0.17335
89.log,12.307,12.9102,126.1889,157.2775,157.8519,2233.9409,0.0423,0.0443,0.1431,0.5573,0.5076,142.9322,0.3709,0.371,0.187,0.3152,0.2473,79.0955,-0.29976,0.17366
90.log,12.5738,12.7808,126.342,157.7234,158.047,2233.9919,0.0426,0.043,0.1562,0.5117,0.4844,142.6901,0.3706,0.3706,0.1843,0.2448,0.2063,78.5759,-0.30071,0.17385
91.log,0,0,2.9081,47.1805,172.4692,2221.0043,0,0,0.1093,0.1969,0.0161,63.0286,0,0,0.3769,0.5998,1.8154,59.9989,0.006566,0.11728
92.log,0,0,17.9116,44.1924,168.8222,2221.0261,0,0,0.1148,0.1735,0.021,66.6309,0,0,0.4138,0.4956,2.0042,64.263,-0.010686,0.11742
93.log,0,0,24.6719,42.3423,165.5554,2221.0814,0,0,0.1292,0.1433,0.0256,70.5192,0,0,0.4437,0.4166,2.172,68.6491,-0.026912,0.11767
94.log,0,0,27.9895,42.9402,162.6317,2221.1516,0,0,0.1497,0.1093,0.0292,74.6537,0,0,0.4235,0.4061,2.3136,73.1171,-0.042218,0.11807
95.log,0,0,28.4207,46.4345,160.024,2221.241,0,0,0.1548,0.0935,0.0316,78.9917,0,0,0.3544,0.4639,2.4263,77.6265,-0.056696,0.1186
96.log,0,0,27.7394,51.3501,157.6934,2221.3606,0,0,0.1481,0.0924,0.0325,83.4888,0,0,0.2945,0.5281,2.511,82.1372,-0.070421,0.11926
97.log,0,0,26.7208,56.6809,155.5855,2221.4961,0,0,0.1387,0.0962,0.0322,88.1018,0,0,0.2505,0.5834,2.5686,86.6107,-0.083453,0.12006
98.log,0,0,25.4148,62.0708,153.6511,2221.6504,0,0,0.1289,0.102,0.0309,92.7906,0,0,0.216,0.6299,2.6023,91.0082,-0.095846,0.12098
99.log,0,0,23.8978,67.3882,151.8707,2221.8436,0,0,0.119,0.1092,0.0288,97.5171,0,0,0.1885,0.6678,2.616,95.2902,-0.107647,0.12203
100.log,0,0,22.3298,72.5582,150.2388,2222.069,0,0,0.1091,0.1178,0.0266,102.2434,0,0,0.1672,0.6973,2.6097,99.4198,-0.118902,0.1232
101.log,0,0,21.0243,77.5386,148.7589,2222.3176,0,0,0.0995,0.1276,0.0247,106.9308,0,0,0.1527,0.7189,2.5832,103.362,-0.129655,0.12449
102.log,0,0,20.3376,82.3172,147.4429,2222.5921,0,0,0.0906,0.1388,0.0238,111.539,0,0,0.1452,0.7337,2.538,107.0832,-0.139942,0.12643
103.log,0,0,20.2777,86.8934,146.2858,2222.889,0,0,0.0825,0.151,0.0247,116.0273,0,0,0.1432,0.7426,2.4752,110.5503,-0.149793,0.1279
104.log,0,0,20.5607,91.2532,145.2618,2223.2012,0,0,0.0749,0.1644,0.0283,120.3589,0,0,0.1457,0.746,2.3967,113.7304,-0.159231,0.12946
105.log,0,0,21.115,95.3979,144.3565,2223.5293,0,0,0.0692,0.1786,0.0357,124.5,0,0,0.1562,0.7444,2.3059,116.591,-0.168275,0.13109
106.log,0,0,22.2049,99.3452,143.5722,2223.8774,0,0,0.0717,0.1936,0.0481,128.4198,0,0,0.1872,0.7387,2.2065,119.1031,-0.176945,0.1328
107.log,0,0,24.3357,103.0963,142.9032,2224.2405,0,0,0.1027,0.2092,0.0667,132.091,0,0,0.275,0.7293,2.0998,121.243,-0.185259,0.13455
108.log,0,0,28.3052,106.6623,142.3475,2224.6149,0,0,0.219,0.2253,0.0926,135.4902,0,0,0.5125,0.7169,1.9879,122.9913,-0.193236,0.13636
109.log,0,0,34.882,110.0666,141.9222,2225.0011,0,0,0.5041,0.2415,0.1275,138.5984,0,0,1.0188,0.7018,1.8749,124.3323,-0.200892,0.13821
110.log,0,0,43.6026,113.3147,141.6343,2225.4008,0,0,0.8842,0.2577,0.1727,141.4028,0,0,1.6391,0.6843,1.765,125.2549,-0.208237,0.14008
111.log,0,0,52.6375,116.3938,141.4694,2225.8148,0,0,1.1733,0.2739,0.2293,143.8965,0,0,2.087,0.6646,1.6618,125.7515,-0.215281,0.14199
112.log,0,0,60.9675,119.3093,141.4235,2226.2434,0,0,1.3565,0.2903,0.2984,146.0775,0,0,2.3768,0.6428,1.5694,125.8206,-0.222032,0.1439
113.log,0,0,68.4882,122.0773,141.5047,2226.6854,0,0,1.4703,0.3072,0.381,147.9468,0,0,2.5832,0.6195,1.4928,125.4672,-0.228495,0.14582
114.log,0,0,75.2298,124.6961,141.6945,2227.1368,0,0,1.5332,0.3259,0.4761,149.5053,0,0,2.7368,0.5957,1.4349,124.7027,-0.234678,0.1474
115.log,0,0,81.251,127.1674,141.978,2227.5945,0,0,1.5543,0.3475,0.5815,150.7553,0,0,2.8463,0.5734,1.3974,123.5442,-0.240584,0.14932
116.log,0,0,86.6907,129.5115,142.375,2228.0562,0,0,1.5376,0.374,0.6951,151.7039,0,0,2.911,0.5556,1.3819,122.014,-0.246216,0.15121
117.log,0,0,91.601,131.7328,142.8899,2228.5186,0,0,1.4846,0.4089,0.8117,152.3635,0,0,2.925,0.5464,1.3865,120.1407,-0.251579,0.15307
118.log,0,4.046,95.9845,133.8212,143.4911,2228.9785,0,0.1628,1.3989,0.4566,0.9217,152.7498,0,0.471,2.8842,0.5521,1.4028,117.9577,-0.256671,0.15489
119.log,0,5.6596,99.9465,135.795,144.1649,2229.4336,0,0.1493,1.284,0.5221,1.0169,152.8809,0,0.4609,2.7865,0.5799,1.422,115.5037,-0.261495,0.15734
120.log,0,7.0823,103.593,137.6823,144.9331,2229.8808,0,0.1366,1.1424,0.6093,1.0902,152.779,0,0.4508,2.6297,0.6371,1.4351,112.8233,-0.26605,0.15906
121.log,0,8.2674,106.9177,139.4982,145.7655,2230.3157,0,0.125,0.981,0.719,1.1324,152.4695,0,0.4413,2.4172,0.7287,1.428,109.965,-0.270333,0.16071
122.log,0,9.1771,109.9165,141.2434,146.6463,2230.7377,0,0.1144,0.8096,0.8496,1.1353,151.9796,0,0.4326,2.1593,0.8565,1.3852,106.9795,-0.274341,0.16229
123.log,0,10.0315,112.6392,142.9392,147.6151,2231.1484,0,0.1046,0.6361,0.9928,1.1003,151.338,0,0.4239,1.8674,1.0132,1.3028,103.9188,-0.278065,0.1638
124.log,0,10.859,115.0943,144.6162,148.668,2231.5434,0,0.0954,0.4709,1.1302,1.036,150.5752,0,0.4151,1.5582,1.1766,1.1871,100.8363,-0.281496,0.16522
125.log,0,11.5063,117.2567,146.2656,149.7555,2231.9125,0,0.0871,0.3267,1.2453,0.9481,149.7226,0,0.4071,1.2551,1.3234,1.0409,97.7854,-0.284619,0.16655
126.log,0,12.0437,119.1441,147.9052,150.8549,2232.255,0,0.0795,0.2111,1.3176,0.8529,148.8115,0,0.3997,0.9768,1.4221,0.8836,94.8177,-0.287417,0.16779
127.log,0,12.5679,120.7766,149.545,151.9846,2232.5746,0,0.0726,0.1283,1.3256,0.7721,147.8734,0,0.3928,0.7373,1.4371,0.7459,91.9829,-0.289886,0.16893
128.log,4.6887,12.9331,122.1494,151.1219,153.0991,2232.8637,0.0362,0.0665,0.0793,1.2738,0.7054,146.9397,0.377,0.387,0.547,1.3678,0.6284,89.327,-0.29207,0.16996
129.log,7.3899,13.1118,123.2855,152.5939,154.1722,2233.1229,0.0377,0.0612,0.0593,1.1755,0.651,146.0393,0.3756,0.3824,0.4066,1.2287,0.529,86.8917,-0.294167,0.17088
130.log,9.1181,13.2613,124.2124,153.9854,155.2059,2233.3592,0.039,0.0565,0.0612,1.0324,0.622,145.1982,0.3744,0.3787,0.3097,1.0201,0.4682,84.7142,-0.296518,0.17168
131.log,10.12,13.1381,124.9061,155.1198,156.0676,2233.5579,0.0402,0.0525,0.0773,0.8734,0.6046,144.4381,0.3731,0.3754,0.2487,0.7846,0.4264,82.8169,-0.298066,0.17236
132.log,10.996,12.9626,125.4092,156.063,156.8255,2233.7141,0.0412,0.0491,0.1,0.7391,0.5725,143.7877,0.3718,0.3731,0.2135,0.5844,0.3648,81.2265,-0.298895,0.17292
133.log,11.9743,13.1363,125.8907,156.8646,157.5212,2233.8578,0.0419,0.0463,0.1236,0.6281,0.5402,143.2854,0.3715,0.3721,0.1948,0.4198,0.3054,79.9841,-0.2999,0.17337
134.log,12.3635,12.9279,126.1669,157.3795,157.8866,2233.9466,0.0424,0.0443,0.1434,0.5537,0.505,142.8993,0.3708,0.3709,0.1866,0.3092,0.2448,79.0462,-0.29983,0.17367
135.log,12.594,12.7925,126.331,157.7718,158.0642,2233.9943,0.0427,0.043,0.1564,0.5091,0.4839,142.6737,0.3706,0.3706,0.1841,0.2408,0.2059,78.5509,-0.300751,0.17386
136.log,0,0,0,52.5599,173.2045,2221.0521,0,0,0,0.2198,0.0134,63.0005,0,0,0,0.7482,1.7205,60.2105,0.007866,0.11739
137.log,0,0,15.4612,48.8212,169.3967,2221.0686,0,0,0.1021,0.1986,0.0178,66.6368,0,0,0.4053,0.6155,1.9166,64.4929,-0.00982,0.11753
138.log,0,0,24.6523,45.6806,165.997,2221.1171,0,0,0.1101,0.1738,0.0222,70.5548,0,0,0.444,0.499,2.0921,68.8927,-0.026402,0.11779
139.log,0,0,30.4747,43.9819,162.9486,2221.1809,0,0,0.1306,0.1387,0.0258,74.7146,0,0,0.4679,0.4165,2.2428,73.3711,-0.041998,0.11819
140.log,0,0,32.548,45.675,160.2276,2221.2661,0,0,0.1537,0.1037,0.0283,79.0741,0,0,0.4154,0.4316,2.3657,77.8889,-0.056709,0.11872
141.log,0,0,31.8782,50.2702,157.8082,2221.3834,0,0,0.1529,0.0958,0.0296,83.5899,0,0,0.3349,0.4933,2.46,82.4053,-0.070621,0.11937
142.log,0,0,30.4926,55.7104,155.6461,2221.5169,0,0,0.1436,0.0988,0.0296,88.2185,0,0,0.2769,0.5434,2.5254,86.8798,-0.083804,0.12017
143.log,0,0,28.9448,61.255,153.6918,2221.6675,0,0,0.1333,0.1047,0.0285,92.9181,0,0,0.2351,0.5824,2.5637,91.2737,-0.096319,0.12109
144.log,0,0,27.2776,66.7132,151.9054,2221.8548,0,0,0.123,0.1122,0.0268,97.6499,0,0,0.2032,0.6128,2.5803,95.5484,-0.108216,0.12214
145.log,0,0,25.5037,72.0118,150.2627,2222.0744,0,0,0.1126,0.1211,0.0248,102.3771,0,0,0.1779,0.6354,2.5776,99.6669,-0.119544,0.12331
146.log,0,0,23.842,77.1119,148.7624,2222.3202,0,0,0.1021,0.1311,0.0233,107.0648,0,0,0.1593,0.6511,2.5561,103.5944,-0.130346,0.12458
147.log,0,0,22.6527,82.0004,147.4204,2222.5972,0,0,0.0922,0.1424,0.0227,111.6763,0,0,0.1481,0.6608,2.517,107.2973,-0.140666,0.12655
148.log,0,0,22.0963,86.6721,146.2412,2222.8996,0,0,0.0831,0.1549,0.0241,116.1696,0,0,0.1437,0.6656,2.4603,110.7436,-0.150537,0.12802
149.log,0,0,22.0588,91.1143,145.2078,2223.217,0,0,0.0748,0.1683,0.0281,120.5031,0,0,0.1453,0.6659,2.3864,113.9021,-0.159987,0.12957
150.log,0,0,22.4474,95.3321,144.3058,2223.5489,0,0,0.0689,0.1827,0.036,124.6412,0,0,0.156,0.6622,2.2987,116.7417,-0.169036,0.1312
151.log,0,0,23.4375,99.343,143.5339,2223.9001,0,0,0.0721,0.1977,0.0491,128.554,0,0,0.1894,0.6552,2.2017,119.2327,-0.177706,0.1329
