log_filename,Cu-C length,C-O length,freq1,freq2,freq3,freq4,freq5,freq6,IR1,IR2,IR3,IR4,IR5,IR6,raman1,raman2,raman3,raman4,raman5,raman6,adsorp_energy,C_NPA_charge,O_NPA_charge,CO_NPA_charge
011.log,2.74,1.099901,0,0,43.5558,51.8374,89.3261,2437.098,0,0,0.1337,0.1558,0.2653,99.0709,0,0,0.166,0.1094,0.2839,32.4556,-0.135732,0.53005,-0.4455,0.08455
012.log,2.740001,1.100049,0,0,43.4493,51.7065,88.8518,2435.8033,0,0,0.1242,0.1484,0.2646,98.1234,0,0,0.1661,0.1154,0.2876,32.4365,-0.137413,0.52927,-0.44532,0.08395
013.log,2.74,1.100212,0,0,43.2575,51.5131,88.43,2434.3856,0,0,0.1159,0.1397,0.2637,97.1284,0,0,0.1665,0.1216,0.2907,32.4047,-0.138861,0.52843,-0.44511,0.08332
014.log,2.74,1.10039,0,0,42.9842,51.2456,88.0716,2432.8243,0,0,0.1085,0.1302,0.2625,96.0806,0,0,0.1671,0.1277,0.2932,32.3565,-0.140062,0.52752,-0.44489,0.08263
015.log,2.739999,1.100584,0,0,42.6311,50.8947,87.788,2431.1092,0,0,0.1019,0.1203,0.2609,94.9754,0,0,0.1681,0.1335,0.295,32.2884,-0.141001,0.52655,-0.44465,0.0819
016.log,2.740001,1.100793,0,0,42.1975,50.4554,87.5902,2429.2573,0,0,0.0958,0.1104,0.2589,93.8087,0,0,0.1695,0.1389,0.2963,32.197,-0.141667,0.52551,-0.44438,0.08113
017.log,2.74,1.101018,0,0,41.6803,49.9275,87.4875,2427.291,0,0,0.09,0.1008,0.2563,92.5769,0,0,0.1713,0.1435,0.2971,32.0792,-0.142047,0.52442,-0.44409,0.08033
018.log,2.74,1.101256,0,0,41.0735,49.315,87.4866,2425.2126,0,0,0.0842,0.0921,0.2532,91.2771,0,0,0.1735,0.1473,0.2975,31.9322,-0.142127,0.52327,-0.44376,0.07951
019.log,2.739999,1.10151,0,0,40.3677,48.6264,87.5909,2423.0065,0,0,0.0784,0.0844,0.2494,89.907,0,0,0.1762,0.15,0.2975,31.7535,-0.141896,0.52205,-0.44341,0.07864
020.log,2.74,1.101776,0,0,39.5506,47.8752,87.8021,2420.658,0,0,0.0724,0.078,0.245,88.4654,0,0,0.1792,0.1517,0.2974,31.5411,-0.141341,0.52079,-0.44303,0.07776
021.log,2.74,1.102058,0,0,38.6091,47.0785,88.1211,2418.1748,0,0,0.0662,0.073,0.24,86.9516,0,0,0.1824,0.1523,0.297,31.2936,-0.140451,0.51947,-0.44262,0.07685
022.log,2.74,1.102352,0,0,37.53,46.2551,88.5523,2415.5802,0,0,0.0597,0.0693,0.2346,85.3664,0,0,0.1856,0.152,0.2964,31.0101,-0.139217,0.51809,-0.44217,0.07592
023.log,2.74,1.102658,0,0,36.301,45.4235,89.1067,2412.8925,0,0,0.0531,0.0668,0.2288,83.7114,0,0,0.1885,0.1511,0.2956,30.6901,-0.137631,0.51667,-0.44169,0.07498
024.log,2.74,1.102979,0,0,34.9106,44.6,89.8004,2410.1056,0,0,0.0466,0.0653,0.2227,81.9897,0,0,0.1909,0.1498,0.2944,30.3333,-0.135685,0.5152,-0.44117,0.07403
025.log,2.739999,1.103311,0,0,33.3477,43.7978,90.6422,2407.2043,0,0,0.0405,0.0644,0.2165,80.2067,0,0,0.1923,0.1483,0.293,29.9394,-0.13337,0.51368,-0.44062,0.07306
026.log,2.74,1.103655,0,0,31.6019,43.0241,91.6258,2404.1938,0,0,0.0349,0.0639,0.2103,78.3693,0,0,0.1928,0.1468,0.2913,29.5086,-0.130676,0.51213,-0.44002,0.07211
027.log,2.74,1.10401,0,0,29.663,42.2801,92.7345,2401.0968,0,0,0.03,0.0637,0.204,76.4855,0,0,0.1922,0.1455,0.2895,29.0419,-0.127594,0.51053,-0.43939,0.07114
028.log,2.74,1.104376,0,0,27.5165,41.5619,93.9542,2397.9248,0,0,0.0258,0.0634,0.1978,74.5621,0,0,0.1905,0.1443,0.2875,28.5409,-0.124112,0.5089,-0.43872,0.07018
029.log,2.740001,1.104752,0,0,25.1354,40.8669,95.2854,2394.6678,0,0,0.0225,0.0632,0.1918,72.6057,0,0,0.1879,0.1432,0.2853,28.0077,-0.12022,0.50724,-0.43801,0.06923
030.log,2.74,1.105139,0,0,22.4676,40.2007,96.7438,2391.3122,0,0,0.0199,0.0629,0.1862,70.6247,0,0,0.1845,0.1422,0.2827,27.445,-0.115903,0.50555,-0.43726,0.06829
031.log,2.74,1.105535,0,0,19.415,39.5767,98.3493,2387.8565,0,0,0.018,0.0625,0.181,68.6289,0,0,0.1803,0.1413,0.2796,26.8548,-0.111149,0.50384,-0.43647,0.06737
032.log,2.74,1.10594,0,0,15.7741,39.0087,100.111,2384.3151,0,0,0.0167,0.062,0.1763,66.6287,0,0,0.1756,0.1405,0.2758,26.2386,-0.105939,0.50211,-0.43565,0.06646
033.log,2.74,1.106353,0,0,10.9794,38.5029,102.0167,2380.7085,0,0,0.0161,0.0615,0.1723,64.6351,0,0,0.1704,0.1397,0.2716,25.5984,-0.100257,0.50036,-0.4348,0.06556
034.log,2.740001,1.106775,0,0,0,38.0591,104.0519,2377.05,0,0,0,0.0609,0.1689,62.6611,0,0,0,0.1387,0.2669,24.9365,-0.094081,0.49861,-0.43391,0.0647
035.log,2.74,1.107203,0,0,0,37.6854,106.2218,2373.3332,0,0,0,0.0602,0.1663,60.7208,0,0,0,0.1377,0.2618,24.2567,-0.087389,0.49686,-0.433,0.06386
036.log,2.740001,1.10764,0,0,0,37.3965,108.5356,2369.5531,0,0,0,0.0595,0.1647,58.8281,0,0,0,0.1365,0.2562,23.5635,-0.080158,0.49511,-0.43207,0.06304
037.log,2.74,1.108081,0,0,0,37.1989,110.9767,2365.7238,0,0,0,0.0586,0.164,56.9981,0,0,0,0.1352,0.2504,22.8629,-0.072364,0.49338,-0.43112,0.06226
038.log,2.74,1.10853,0,0,0,37.0956,113.5257,2361.8665,0,0,0,0.0577,0.1643,55.2453,0,0,0,0.1339,0.2444,22.16,-0.063983,0.49166,-0.43017,0.06149
039.log,2.740001,1.108984,0,0,0,37.1046,116.201,2357.9818,0,0,0,0.0566,0.1652,53.5815,0,0,0,0.1324,0.2382,21.4596,-0.054985,0.48998,-0.42921,0.06077
040.log,2.740001,1.109442,0,0,0,37.2661,119.0388,2354.0609,0,0,0,0.0554,0.167,52.0193,0,0,0,0.1309,0.2318,20.7667,-0.04534,0.48833,-0.42826,0.06007
041.log,2.739999,1.109904,0,0,0,37.641,122.1024,2350.1033,0,0,0,0.054,0.1696,50.5716,0,0,0,0.1293,0.2249,20.0861,-0.035012,0.48673,-0.42733,0.0594
042.log,2.74,1.11037,0,0,0,38.2816,125.456,2346.1148,0,0,0,0.0525,0.1731,49.2477,0,0,0,0.1276,0.2177,19.422,-0.023965,0.48519,-0.42643,0.05876
043.log,2.74,1.110839,0,0,0,39.1889,129.0816,2342.1083,0,0,0,0.0508,0.1778,48.0555,0,0,0,0.1256,0.2106,18.7805,-0.012149,0.48372,-0.42559,0.05813
044.log,2.74,1.111311,0,0,0,40.3224,132.913,2338.103,0,0,0,0.049,0.1833,47.0037,0,0,0,0.1232,0.2041,18.1698,0.000495,0.48234,-0.4248,0.05754
045.log,2.74,1.111785,0,0,0,41.6488,136.9017,2334.1004,0,0,0,0.0473,0.1895,46.0999,0,0,0,0.1206,0.1984,17.5981,0.014037,0.48105,-0.42409,0.05696
046.log,2.74,1.099336,0,0,38.6316,51.8609,95.2177,2442.0359,0,0,0.2754,0.1507,0.2568,107.221,0,0,0.1612,0.0816,0.2267,32.7703,-0.108781,0.53405,-0.44669,0.08736
047.log,2.74,1.099352,0,0,39.5145,51.7185,94.6548,2441.9007,0,0,0.2601,0.1541,0.2588,106.2461,0,0,0.1625,0.0823,0.2336,32.6574,-0.111878,0.53382,-0.44658,0.08724
048.log,2.74,1.099385,0,0,40.2692,51.5807,94.0892,2441.6335,0,0,0.2439,0.1574,0.2602,105.2744,0,0,0.1639,0.0836,0.2405,32.5736,-0.114848,0.53351,-0.44647,0.08704
049.log,2.74,1.099433,0,0,40.8934,51.4516,93.5233,2441.2073,0,0,0.2271,0.1604,0.2613,104.3024,0,0,0.1653,0.0855,0.2473,32.5161,-0.117679,0.53314,-0.44635,0.08679
050.log,2.74,1.099498,0,0,41.3856,51.3337,92.9606,2440.6164,0,0,0.21,0.1629,0.2619,103.326,0,0,0.1666,0.0881,0.254,32.4819,-0.120361,0.53269,-0.44623,0.08646
051.log,2.74,1.099581,0,0,41.747,51.2276,92.4063,2439.8899,0,0,0.1931,0.1644,0.2622,102.3403,0,0,0.1676,0.0917,0.2605,32.4675,-0.122884,0.53218,-0.44609,0.08609
052.log,2.74,1.09968,0,0,41.9809,51.1298,91.8655,2439.0397,0,0,0.177,0.1645,0.2621,101.3397,0,0,0.1683,0.0961,0.2667,32.4689,-0.125236,0.53159,-0.44594,0.08565
053.log,2.74,1.099795,0,0,42.0934,51.032,91.3426,2438.0442,0,0,0.162,0.1628,0.2618,100.3187,0,0,0.1687,0.1014,0.2725,32.4824,-0.127406,0.53094,-0.44578,0.08516
054.log,2.74,1.099926,0,0,42.0936,50.9222,90.8435,2436.8788,0,0,0.1487,0.1592,0.2612,99.2715,0,0,0.1689,0.1075,0.2779,32.5038,-0.129381,0.53021,-0.4456,0.08461
055.log,2.74,1.100073,0,0,41.9935,50.786,90.3765,2435.5496,0,0,0.1369,0.1536,0.2603,98.1928,0,0,0.1689,0.1141,0.2828,32.5292,-0.131149,0.52942,-0.44541,0.08401
056.log,2.74,1.100237,0,0,41.8061,50.6089,89.9527,2434.0908,0,0,0.1268,0.1463,0.2591,97.0768,0,0,0.1689,0.121,0.2871,32.5543,-0.1327,0.52856,-0.44519,0.08337
057.log,2.74,1.100415,0,0,41.5432,50.3763,89.5843,2432.522,0,0,0.118,0.1375,0.2577,95.9184,0,0,0.169,0.1281,0.2908,32.5749,-0.134022,0.52763,-0.44496,0.08267
058.log,2.74,1.100609,0,0,41.2136,50.0731,89.2821,2430.8282,0,0,0.1105,0.1277,0.256,94.713,0,0,0.1693,0.1351,0.2939,32.5868,-0.135101,0.52664,-0.4447,0.08194
059.log,2.740001,1.100818,0,0,40.8234,49.6857,89.0549,2428.9822,0,0,0.104,0.1172,0.254,93.457,0,0,0.1698,0.1418,0.2964,32.5859,-0.135923,0.52559,-0.44443,0.08116
060.log,2.740001,1.101043,0,0,40.3765,49.2046,88.9099,2426.9838,0,0,0.0982,0.1064,0.2514,92.1472,0,0,0.1705,0.1481,0.2983,32.5685,-0.136474,0.52447,-0.44412,0.08035
061.log,2.740001,1.101283,0,0,39.8751,48.6247,88.8539,2424.8586,0,0,0.0931,0.0958,0.2484,90.7807,0,0,0.1715,0.1537,0.2998,32.5312,-0.13674,0.5233,-0.44379,0.07951
062.log,2.740001,1.101535,0,0,39.3187,47.9459,88.8942,2422.6303,0,0,0.0883,0.0855,0.2448,89.3554,0,0,0.1728,0.1585,0.3008,32.4714,-0.136709,0.52206,-0.44342,0.07864
063.log,2.74,1.101803,0,0,38.7034,47.1722,89.0413,2420.2935,0,0,0.0839,0.0759,0.2406,87.8708,0,0,0.1745,0.1623,0.3015,32.3863,-0.136365,0.52077,-0.44303,0.07774
064.log,2.74,1.102085,0,0,38.0204,46.3136,89.3115,2417.8283,0,0,0.0795,0.0673,0.2359,86.3276,0,0,0.1765,0.165,0.3017,32.2737,-0.135694,0.51942,-0.4426,0.07682
065.log,2.74,1.102378,0,0,37.2563,45.3875,89.7223,2415.2357,0,0,0.0751,0.0598,0.2307,84.7274,0,0,0.1789,0.1663,0.3014,32.131,-0.134681,0.51802,-0.44214,0.07588
066.log,2.740001,1.102685,0,0,36.3896,44.4191,90.2844,2412.5361,0,0,0.0704,0.0537,0.2251,83.0716,0,0,0.1816,0.1664,0.3008,31.9558,-0.133313,0.51657,-0.44164,0.07493
067.log,2.740001,1.103005,0,0,35.3869,43.4403,90.9988,2409.7429,0,0,0.0653,0.0491,0.2192,81.3619,0,0,0.1846,0.1652,0.2998,31.7459,-0.131578,0.51508,-0.44111,0.07397
068.log,2.74,1.103336,0,0,34.2048,42.4851,91.8548,2406.8483,0,0,0.0597,0.046,0.2129,79.6008,0,0,0.1873,0.1631,0.2985,31.5003,-0.12946,0.51353,-0.44053,0.073
069.log,2.74,1.10368,0,0,32.8017,41.5804,92.8311,2403.8405,0,0,0.0538,0.0442,0.2064,77.7926,0,0,0.1895,0.1605,0.2971,31.2193,-0.126945,0.51195,-0.43992,0.07203
070.log,2.74,1.104036,0,0,31.1508,40.7453,93.9162,2400.7279,0,0,0.048,0.0435,0.1998,75.9439,0,0,0.1907,0.1579,0.2956,30.9042,-0.124021,0.51032,-0.43927,0.07105
071.log,2.74,1.104402,0,0,29.2374,39.9957,95.1231,2397.5354,0,0,0.0424,0.0432,0.1932,74.0633,0,0,0.1907,0.1556,0.2936,30.5564,-0.120675,0.50866,-0.43858,0.07008
072.log,2.74,1.104778,0,0,27.0417,39.3422,96.4828,2394.2716,0,0,0.0375,0.0433,0.1868,72.1604,0,0,0.1895,0.1536,0.291,30.1769,-0.116895,0.50697,-0.43786,0.06911
073.log,2.74,1.105165,0,0,24.5221,38.7822,98.0204,2390.9228,0,0,0.0332,0.0434,0.1806,70.2446,0,0,0.1873,0.1518,0.2878,29.766,-0.112666,0.50525,-0.43709,0.06816
074.log,2.74,1.10556,0,0,21.5969,38.3045,99.7472,2387.4789,0,0,0.0298,0.0435,0.1748,68.325,0,0,0.1841,0.1501,0.2839,29.3238,-0.107971,0.50351,-0.43629,0.06722
075.log,2.740001,1.105964,0,0,18.0992,37.8955,101.6488,2383.9475,0,0,0.0271,0.0437,0.1695,66.4111,0,0,0.1802,0.1483,0.2797,28.8504,-0.102794,0.50175,-0.43545,0.0663
076.log,2.74,1.106378,0,0,13.631,37.5439,103.6862,2380.3512,0,0,0.0251,0.0438,0.1646,64.5125,0,0,0.1756,0.1465,0.2752,28.3465,-0.097112,0.49998,-0.43458,0.0654
077.log,2.74,1.106798,0,0,6.5099,37.2593,105.8384,2376.7084,0,0,0.0238,0.044,0.1604,62.6393,0,0,0.1706,0.1447,0.2704,27.813,-0.090904,0.4982,-0.43368,0.06452
078.log,2.74,1.107228,0,0,0,37.0587,108.1032,2373.014,0,0,0,0.0442,0.1568,60.8014,0,0,0,0.1428,0.2651,27.2525,-0.084145,0.49642,-0.43276,0.06366
079.log,2.74,1.107664,0,0,0,36.9589,110.5023,2369.2537,0,0,0,0.0446,0.1538,59.0099,0,0,0,0.1407,0.2593,26.6691,-0.076807,0.49465,-0.43181,0.06284
080.log,2.74,1.108105,0,0,0,36.993,113.0875,2365.4281,0,0,0,0.0453,0.1515,57.2783,0,0,0,0.1386,0.2527,26.0666,-0.068864,0.49289,-0.43085,0.06204
081.log,2.74,1.108553,0,0,0,37.2063,115.9175,2361.5519,0,0,0,0.0463,0.15,55.6203,0,0,0,0.1362,0.2453,25.4493,-0.060289,0.49116,-0.42989,0.06127
082.log,2.74,1.109006,0,0,0,37.6152,118.998,2357.6462,0,0,0,0.0476,0.1492,54.0506,0,0,0,0.1336,0.2376,24.8225,-0.051053,0.48945,-0.42892,0.06053
083.log,2.74,1.109464,0,0,0,38.2109,122.2933,2353.7162,0,0,0,0.0492,0.1492,52.5833,0,0,0,0.1307,0.2299,24.191,-0.041118,0.48779,-0.42796,0.05983
084.log,2.74,1.109926,0,0,0,38.9826,125.7647,2349.7545,0,0,0,0.0512,0.15,51.2297,0,0,0,0.1275,0.2224,23.5586,-0.030445,0.48618,-0.42702,0.05916
085.log,2.74,1.110391,0,0,0,39.923,129.3693,2345.765,0,0,0,0.0536,0.1516,50.001,0,0,0,0.1242,0.2152,22.9293,-0.018987,0.48463,-0.42611,0.05852
086.log,2.74,1.110858,0,0,0,41.0695,133.1291,2341.7582,0,0,0,0.0562,0.1541,48.9081,0,0,0,0.1208,0.208,22.308,-0.0067,0.48316,-0.42524,0.05792
087.log,2.74,1.11133,0,0,0,42.5016,137.1321,2337.7468,0,0,0,0.0589,0.1576,47.9595,0,0,0,0.1175,0.2003,21.7009,0.006461,0.48177,-0.42443,0.05734
088.log,2.739999,1.111803,0,0,0,44.2764,141.4509,2333.7338,0,0,0,0.0618,0.1621,47.1631,0,0,0,0.1141,0.1925,21.116,0.020551,0.48048,-0.42369,0.05679
089.log,2.74,1.112277,0,0,0,46.3795,146.0865,2329.7156,0,0,0,0.0649,0.1675,46.5259,0,0,0,0.1106,0.1853,20.5617,0.035637,0.47929,-0.42303,0.05626
090.log,2.74,1.112751,0,0,0,48.7787,151.0273,2325.6974,0,0,0,0.0684,0.1734,46.0524,0,0,0,0.1069,0.1788,20.0464,0.051796,0.47824,-0.42249,0.05575
091.log,2.74,1.099336,0,0,38.6316,51.8609,95.2177,2442.0359,0,0,0.2754,0.1507,0.2568,107.221,0,0,0.1612,0.0816,0.2267,32.7703,-0.108781,0.53405,-0.44669,0.08736
092.log,2.74,1.099385,0,0,39.3307,51.5488,94.7196,2441.5944,0,0,0.2589,0.1535,0.2581,106.0962,0,0,0.1631,0.0829,0.2341,32.6432,-0.11149,0.53368,-0.44657,0.08711
093.log,2.74,1.099452,0,0,39.895,51.2491,94.225,2441.0236,0,0,0.2416,0.1563,0.2589,104.9727,0,0,0.1652,0.0848,0.2414,32.5526,-0.11406,0.53323,-0.44644,0.08679
094.log,2.74,1.099534,0,0,40.3206,50.9685,93.7366,2440.2967,0,0,0.2236,0.159,0.2592,103.8467,0,0,0.1671,0.0875,0.2485,32.4956,-0.116479,0.53272,-0.4463,0.08642
095.log,2.74,1.099633,0,0,40.6054,50.7114,93.258,2439.4072,0,0,0.2056,0.1611,0.2591,102.7135,0,0,0.1689,0.091,0.2554,32.4687,-0.118737,0.53213,-0.44615,0.08598
096.log,2.740001,1.099749,0,0,40.7506,50.4786,92.794,2438.3747,0,0,0.188,0.1622,0.2585,101.5681,0,0,0.1703,0.0955,0.2621,32.4684,-0.120826,0.53147,-0.44599,0.08548
097.log,2.74,1.099881,0,0,40.761,50.2661,92.3489,2437.2056,0,0,0.1714,0.1619,0.2576,100.405,0,0,0.1713,0.101,0.2684,32.4908,-0.122733,0.53075,-0.44581,0.08494
098.log,2.74,1.100029,0,0,40.646,50.0648,91.928,2435.8951,0,0,0.1563,0.1598,0.2563,99.2189,0,0,0.1719,0.1073,0.2743,32.5317,-0.12445,0.52995,-0.44562,0.08433
099.log,2.74,1.100193,0,0,40.4193,49.8608,91.5389,2434.4307,0,0,0.1429,0.1557,0.2547,98.0044,0,0,0.1722,0.1141,0.2797,32.5872,-0.125964,0.52908,-0.44541,0.08367
100.log,2.739999,1.100373,0,0,40.0975,49.6376,91.1937,2432.8213,0,0,0.1313,0.1498,0.2527,96.7569,0,0,0.1724,0.1213,0.2847,32.6529,-0.127264,0.52814,-0.44517,0.08297
101.log,2.739999,1.100568,0,0,39.6966,49.379,90.9053,2431.0909,0,0,0.1214,0.1422,0.2505,95.472,0,0,0.1726,0.1287,0.2891,32.7243,-0.12834,0.52714,-0.44492,0.08222
102.log,2.740001,1.100778,0,0,39.2289,49.0686,90.6822,2429.2374,0,0,0.1128,0.1334,0.248,94.1457,0,0,0.1728,0.1359,0.2931,32.7965,-0.129179,0.52608,-0.44464,0.08144
103.log,2.74,1.101003,0,0,38.705,48.6918,90.5284,2427.2454,0,0,0.1055,0.1238,0.2451,92.7747,0,0,0.1732,0.1428,0.2965,32.8651,-0.129767,0.52494,-0.44433,0.08061
104.log,2.74,1.101244,0,0,38.1357,48.236,90.4478,2425.1093,0,0,0.0992,0.1136,0.2418,91.3559,0,0,0.1736,0.1493,0.2995,32.9262,-0.130091,0.52375,-0.44399,0.07976
105.log,2.74,1.101498,0,0,37.5313,47.6923,90.4485,2422.8455,0,0,0.0937,0.1032,0.238,89.8874,0,0,0.1743,0.1552,0.302,32.9764,-0.130137,0.5225,-0.44363,0.07887
106.log,2.74,1.101767,0,0,36.9005,47.0546,90.5475,2420.4789,0,0,0.0889,0.0929,0.2338,88.3687,0,0,0.1751,0.1604,0.304,33.0125,-0.129892,0.52118,-0.44323,0.07795
107.log,2.74,1.102048,0,0,36.2487,46.3187,90.7692,2418.0049,0,0,0.0847,0.0829,0.2292,86.801,0,0,0.176,0.1647,0.3054,33.0309,-0.129339,0.51981,-0.4428,0.07701
108.log,2.74,1.102344,0,0,35.5777,45.484,91.1377,2415.4064,0,0,0.0809,0.0734,0.2242,85.1859,0,0,0.177,0.1681,0.3063,33.028,-0.128464,0.51839,-0.44234,0.07605
109.log,2.74,1.102653,0,0,34.881,44.5575,91.6682,2412.6809,0,0,0.0774,0.0644,0.2188,83.525,0,0,0.1782,0.1703,0.3065,33,-0.127248,0.51691,-0.44184,0.07507
110.log,2.739999,1.102974,0,0,34.1327,43.5531,92.3533,2409.8471,0,0,0.0743,0.0562,0.213,81.819,0,0,0.1797,0.1713,0.3063,32.9437,-0.125673,0.51539,-0.4413,0.07409
111.log,2.74,1.103307,0,0,33.2883,42.4879,93.1569,2406.9287,0,0,0.0713,0.0489,0.2068,80.0696,0,0,0.1814,0.171,0.306,32.8576,-0.123718,0.51381,-0.44072,0.07309
112.log,2.74,1.103652,0,0,32.3077,41.386,94.0593,2403.9191,0,0,0.0683,0.0426,0.2003,78.2806,0,0,0.1834,0.1695,0.3056,32.7415,-0.121364,0.5122,-0.44011,0.07209
113.log,2.74,1.104009,0,0,31.1618,40.2878,95.0964,2400.8002,0,0,0.065,0.0375,0.1936,76.4569,0,0,0.1856,0.1669,0.3045,32.5951,-0.118589,0.51054,-0.43945,0.07109
114.log,2.740001,1.104376,0,0,29.8056,39.2448,96.3302,2397.5712,0,0,0.0613,0.0338,0.1869,74.6055,0,0,0.1876,0.1635,0.3025,32.4179,-0.115376,0.50884,-0.43876,0.07008
115.log,2.74,1.104754,0,0,28.1671,38.2977,97.7917,2394.2548,0,0,0.0571,0.0315,0.1803,72.7351,0,0,0.189,0.1597,0.2996,32.2085,-0.111706,0.50711,-0.43803,0.06908
116.log,2.74,1.105142,0,0,26.1684,37.4633,99.463,2390.8783,0,0,0.0527,0.0304,0.1738,70.8559,0,0,0.1895,0.1559,0.2961,31.9656,-0.107556,0.50535,-0.43726,0.06809
117.log,2.74,1.105539,0,0,23.7348,36.7306,101.2874,2387.4367,0,0,0.0483,0.03,0.1675,68.9784,0,0,0.1888,0.1523,0.2925,31.6889,-0.102901,0.50357,-0.43645,0.06712
118.log,2.74,1.105945,0,0,20.7677,36.0941,103.239,2383.9121,0,0,0.0442,0.0301,0.1614,67.1125,0,0,0.187,0.1492,0.2886,31.3783,-0.097714,0.50177,-0.43561,0.06616
119.log,2.74,1.106359,0,0,17.0677,35.5598,105.3299,2380.3024,0,0,0.0407,0.0304,0.1555,65.2656,0,0,0.1843,0.1464,0.284,31.0359,-0.09197,0.49995,-0.43475,0.0652
120.log,2.740001,1.106782,0,0,12.0596,35.1438,107.6187,2376.6279,0,0,0.0378,0.0311,0.1499,63.4452,0,0,0.1809,0.1437,0.2785,30.6638,-0.085644,0.49813,-0.43385,0.06428
121.log,2.74,1.107213,0,0,0,34.8827,110.2071,2372.9136,0,0,0,0.032,0.1444,61.6616,0,0,0,0.141,0.2719,30.2617,-0.078707,0.49631,-0.43293,0.06338
122.log,2.74,1.10765,0,0,0,34.7839,113.1212,2369.1557,0,0,0,0.0333,0.1392,59.9256,0,0,0,0.138,0.2647,29.8297,-0.071124,0.49449,-0.43199,0.0625
123.log,2.74,1.108094,0,0,0,34.8182,116.3137,2365.3344,0,0,0,0.035,0.1343,58.2475,0,0,0,0.1347,0.2571,29.3703,-0.062852,0.49269,-0.43105,0.06164
124.log,2.74,1.108543,0,0,0,34.971,119.7491,2361.4467,0,0,0,0.0373,0.1299,56.6388,0,0,0,0.131,0.2495,28.8874,-0.053842,0.49091,-0.43009,0.06082
125.log,2.74,1.108997,0,0,0,35.2042,123.3554,2357.5093,0,0,0,0.0401,0.126,55.1117,0,0,0,0.1271,0.2422,28.3851,-0.044043,0.48917,-0.42914,0.06003
126.log,2.740001,1.109457,0,0,0,35.5149,127.1158,2353.5467,0,0,0,0.0435,0.1229,53.679,0,0,0,0.123,0.2346,27.868,-0.033399,0.48747,-0.4282,0.05927
127.log,2.74,1.109921,0,0,0,35.9693,131.1227,2349.5671,0,0,0,0.0478,0.1206,52.3543,0,0,0,0.1189,0.2263,27.3426,-0.021853,0.48582,-0.42728,0.05854
128.log,2.74,1.110387,0,0,0,36.632,135.5001,2345.5603,0,0,0,0.0531,0.1193,51.1498,0,0,0,0.1147,0.2174,26.8135,-0.009344,0.48423,-0.4264,0.05783
129.log,2.74,1.110858,0,0,0,37.5218,140.2896,2341.5294,0,0,0,0.0595,0.1189,50.075,0,0,0,0.1104,0.2083,26.2823,0.004197,0.48273,-0.42556,0.05717
130.log,2.740001,1.11133,0,0,0,38.6566,145.5373,2337.4938,0,0,0,0.0675,0.1191,49.1368,0,0,0,0.1061,0.1995,25.7515,0.018847,0.48132,-0.42478,0.05654
131.log,2.739999,1.111805,0,0,0,40.0445,151.2215,2333.4719,0,0,0,0.0771,0.1198,48.3415,0,0,0,0.1018,0.1915,25.2267,0.03469,0.48001,-0.42408,0.05593
